year,keyword,count
2013.0,count_Crimea,0
2014.0,count_Crimea,0
2015.0,count_Crimea,0
2016.0,count_Crimea,0
2017.0,count_Crimea,0
2018.0,count_Crimea,0
2019.0,count_Crimea,0
2020.0,count_Crimea,0
2021.0,count_Crimea,0
2022.0,count_Crimea,0
2023.0,count_Crimea,0
2024.0,count_Crimea,0
2025.0,count_Crimea,0
2005.0,Unnamed: 23,0
2006.0,Unnamed: 23,0
2007.0,Unnamed: 23,0
2008.0,Unnamed: 23,0
2009.0,Unnamed: 23,0
2010.0,Unnamed: 23,0
2011.0,Unnamed: 23,0
2012.0,Unnamed: 23,0
2013.0,Unnamed: 23,0
2014.0,Unnamed: 23,0
2015.0,Unnamed: 23,0
2016.0,Unnamed: 23,0
2017.0,Unnamed: 23,0
2018.0,Unnamed: 23,0
2019.0,Unnamed: 23,0
2020.0,Unnamed: 23,0
2021.0,Unnamed: 23,0
2022.0,Unnamed: 23,0
2023.0,Unnamed: 23,0
2024.0,Unnamed: 23,0
2025.0,Unnamed: 23,0
2005.0,Unnamed: 24,0
2006.0,Unnamed: 24,0
2007.0,Unnamed: 24,0
2008.0,Unnamed: 24,0
2009.0,Unnamed: 24,0
2010.0,Unnamed: 24,0
2011.0,Unnamed: 24,0
2012.0,Unnamed: 24,0
2013.0,Unnamed: 24,0
2014.0,Unnamed: 24,0
2015.0,Unnamed: 24,0
2016.0,Unnamed: 24,0
2017.0,Unnamed: 24,0
2018.0,Unnamed: 24,0
2019.0,Unnamed: 24,0
2020.0,Unnamed: 24,0
2021.0,Unnamed: 24,0
2022.0,Unnamed: 24,0
2023.0,Unnamed: 24,0
2024.0,Unnamed: 24,0
2025.0,Unnamed: 24,0
2005.0,Unnamed: 25,0
2006.0,Unnamed: 25,0
2007.0,Unnamed: 25,0
2008.0,Unnamed: 25,0
2009.0,Unnamed: 25,0
2010.0,Unnamed: 25,0
2011.0,Unnamed: 25,0
2012.0,Unnamed: 25,0
2013.0,Unnamed: 25,0
2014.0,Unnamed: 25,0
2015.0,Unnamed: 25,0
2016.0,Unnamed: 25,0
2017.0,Unnamed: 25,0
2018.0,Unnamed: 25,0
2019.0,Unnamed: 25,0
2020.0,Unnamed: 25,0
2021.0,Unnamed: 25,0
2022.0,Unnamed: 25,0
2023.0,Unnamed: 25,0
2024.0,Unnamed: 25,0
2025.0,Unnamed: 25,0
2005.0,Unnamed: 26,0
2006.0,Unnamed: 26,0
2007.0,Unnamed: 26,0
2008.0,Unnamed: 26,0
2009.0,Unnamed: 26,0
2010.0,Unnamed: 26,0
2011.0,Unnamed: 26,0
2012.0,Unnamed: 26,0
2013.0,Unnamed: 26,0
2014.0,Unnamed: 26,0
2015.0,Unnamed: 26,0
2016.0,Unnamed: 26,0
2017.0,Unnamed: 26,0
2018.0,Unnamed: 26,0
2019.0,Unnamed: 26,0
2020.0,Unnamed: 26,0
2021.0,Unnamed: 26,0
2022.0,Unnamed: 26,0
2023.0,Unnamed: 26,0
2024.0,Unnamed: 26,0
2025.0,Unnamed: 26,0
2005.0,Unnamed: 27,0
2006.0,Unnamed: 27,0
2007.0,Unnamed: 27,0
2008.0,Unnamed: 27,0
2009.0,Unnamed: 27,0
2010.0,Unnamed: 27,0
2011.0,Unnamed: 27,0
2012.0,Unnamed: 27,0
2013.0,Unnamed: 27,0
2014.0,Unnamed: 27,0
2015.0,Unnamed: 27,0
2016.0,Unnamed: 27,0
2017.0,Unnamed: 27,0
2018.0,Unnamed: 27,0
2019.0,Unnamed: 27,0
2020.0,Unnamed: 27,0
2021.0,Unnamed: 27,0
2022.0,Unnamed: 27,0
2023.0,Unnamed: 27,0
2024.0,Unnamed: 27,0
2025.0,Unnamed: 27,0
2005.0,Unnamed: 28,0
2006.0,Unnamed: 28,0
2007.0,Unnamed: 28,0
2008.0,Unnamed: 28,0
2009.0,Unnamed: 28,0
2010.0,Unnamed: 28,0
2011.0,Unnamed: 28,0
2012.0,Unnamed: 28,0
2013.0,Unnamed: 28,0
2014.0,Unnamed: 28,0
2015.0,Unnamed: 28,0
2016.0,Unnamed: 28,0
2017.0,Unnamed: 28,0
2018.0,Unnamed: 28,0
2019.0,Unnamed: 28,0
2020.0,Unnamed: 28,0
2021.0,Unnamed: 28,0
2022.0,Unnamed: 28,0
2023.0,Unnamed: 28,0
2024.0,Unnamed: 28,0
2025.0,Unnamed: 28,0
2005.0,Unnamed: 29,0
